str,en,vi,
home,home,Trang chủ,
title,Hello {name},Xin chào {name},
change_language,Change language,Đổi ngôn ngữ,
login,Login,Đăng nhập,
enter_user_name,Enter your username,Nhập tên đăng nhập,
enter_password,Enter your password,Nhập mật khẩu,
logout,Logout,Đăng xuất,
hello,Hello,Cin chào,
name,Name: {},Tên: {},
gender,Gender: {},Giới tính: {},
age,Age: {},Tuổi: {},
btn_crawl_data,Crawl Data,Cào Data,
error_api_not_found,API not found,API not found,
error_internet_server_error,Internal server error,Internal server error,
error_service_unavailable,Service unavailable,Service unavailable,
error_unexpected_error,Unexpected error occurred,Unexpected error occurred,
error_no_network_connection,Network is disconnected. Please try again later,Network is disconnected. Please try again later,
error_invalid_status_code,Received invalid status code: {},Received invalid status code: {},
error_unauthorized_request,Unauthorized request,Unauthorized request,
error_request_canceled,Request cancelled,Request cancelled,
error_request_timeout,Connection request timeout,Connection request timeout,
error_send_timeout,Connection send timeout,Connection send timeout,
error_receive_timeout,Connection receive timeout,Connection receive timeout,
error_hand_shake_msg,Handshake Exception,Handshake Exception,
error_bad_request,Bad request,Bad request,
